# L=10, T=3.25 
# E      M        E^2        M^2
-104.0    54.0     10816.0     2916.0
-100.0    50.0     10000.0     2500.0
-104.0    48.0     10816.0     2304.0
-84.0    50.0     7056.0     2500.0
-116.0    68.0     13456.0     4624.0
-84.0    56.0     7056.0     3136.0
-84.0    50.0     7056.0     2500.0
-72.0    36.0     5184.0     1296.0
-60.0    48.0     3600.0     2304.0
-76.0    44.0     5776.0     1936.0
-108.0    56.0     11664.0     3136.0
-68.0    40.0     4624.0     1600.0
-64.0    44.0     4096.0     1936.0
-100.0    54.0     10000.0     2916.0
-84.0    46.0     7056.0     2116.0
-48.0    14.0     2304.0     196.0
-56.0    12.0     3136.0     144.0
-72.0    24.0     5184.0     576.0
-72.0    14.0     5184.0     196.0
-56.0    -8.0     3136.0     64.0
-60.0    12.0     3600.0     144.0
-88.0    14.0     7744.0     196.0
-68.0    24.0     4624.0     576.0
-84.0    12.0     7056.0     144.0
-60.0    28.0     3600.0     784.0
-96.0    32.0     9216.0     1024.0
-72.0    32.0     5184.0     1024.0
-72.0    20.0     5184.0     400.0
-96.0    40.0     9216.0     1600.0
-100.0    42.0     10000.0     1764.0
-72.0    32.0     5184.0     1024.0
-56.0    30.0     3136.0     900.0
-84.0    26.0     7056.0     676.0
-60.0    28.0     3600.0     784.0
-60.0    10.0     3600.0     100.0
-60.0    -10.0     3600.0     100.0
-56.0    -24.0     3136.0     576.0
-60.0    -22.0     3600.0     484.0
-72.0    -6.0     5184.0     36.0
-96.0    -6.0     9216.0     36.0
-80.0    -18.0     6400.0     324.0
-64.0    -34.0     4096.0     1156.0
-48.0    -26.0     2304.0     676.0
-60.0    -32.0     3600.0     1024.0
-92.0    -38.0     8464.0     1444.0
-64.0    -38.0     4096.0     1444.0
-56.0    -34.0     3136.0     1156.0
-52.0    -18.0     2704.0     324.0
-32.0    -8.0     1024.0     64.0
-56.0    -16.0     3136.0     256.0
-60.0    18.0     3600.0     324.0
-76.0    10.0     5776.0     100.0
-72.0    -8.0     5184.0     64.0
-56.0    0.0     3136.0     0.0
-44.0    -12.0     1936.0     144.0
-76.0    -22.0     5776.0     484.0
-96.0    14.0     9216.0     196.0
-92.0    24.0     8464.0     576.0
-68.0    10.0     4624.0     100.0
-80.0    16.0     6400.0     256.0
-80.0    26.0     6400.0     676.0
-68.0    22.0     4624.0     484.0
-60.0    36.0     3600.0     1296.0
-80.0    32.0     6400.0     1024.0
-72.0    26.0     5184.0     676.0
-68.0    12.0     4624.0     144.0
-80.0    28.0     6400.0     784.0
-92.0    38.0     8464.0     1444.0
-84.0    30.0     7056.0     900.0
-72.0    22.0     5184.0     484.0
-76.0    30.0     5776.0     900.0
-52.0    12.0     2704.0     144.0
-52.0    -2.0     2704.0     4.0
-56.0    10.0     3136.0     100.0
-52.0    -4.0     2704.0     16.0
-52.0    -8.0     2704.0     64.0
-72.0    8.0     5184.0     64.0
-80.0    24.0     6400.0     576.0
-48.0    18.0     2304.0     324.0
-36.0    4.0     1296.0     16.0
-28.0    2.0     784.0     4.0
-60.0    2.0     3600.0     4.0
-64.0    14.0     4096.0     196.0
-92.0    20.0     8464.0     400.0
-56.0    20.0     3136.0     400.0
-68.0    8.0     4624.0     64.0
-64.0    6.0     4096.0     36.0
-84.0    24.0     7056.0     576.0
-84.0    6.0     7056.0     36.0
-84.0    10.0     7056.0     100.0
-88.0    -12.0     7744.0     144.0
-88.0    0.0     7744.0     0.0
-92.0    16.0     8464.0     256.0
-88.0    10.0     7744.0     100.0
-72.0    14.0     5184.0     196.0
-80.0    26.0     6400.0     676.0
-80.0    30.0     6400.0     900.0
-72.0    28.0     5184.0     784.0
-76.0    14.0     5776.0     196.0
-72.0    10.0     5184.0     100.0
-76.0    30.0     5776.0     900.0
-88.0    28.0     7744.0     784.0
-80.0    20.0     6400.0     400.0
-68.0    22.0     4624.0     484.0
-88.0    48.0     7744.0     2304.0
-104.0    68.0     10816.0     4624.0
-112.0    70.0     12544.0     4900.0
-100.0    56.0     10000.0     3136.0
-104.0    58.0     10816.0     3364.0
-104.0    62.0     10816.0     3844.0
-104.0    50.0     10816.0     2500.0
-88.0    52.0     7744.0     2704.0
-100.0    48.0     10000.0     2304.0
-92.0    42.0     8464.0     1764.0
-72.0    42.0     5184.0     1764.0
-64.0    24.0     4096.0     576.0
-76.0    26.0     5776.0     676.0
-80.0    28.0     6400.0     784.0
