# L=10, T=3.75 
# E      M        E^2        M^2
-60.12    -3.82     3868.64     497.96
-58.4    3.92     3701.44     379.76
-59.6    -3.7     3794.24     502.92
-64.76    -1.8     4543.84     558.8
-58.08    -0.56     3624.96     414.72
-60.92    0.04     4025.12     473.36
-58.76    0.66     3746.08     444.76
-60.48    -0.74     3934.4     474.2
-62.08    1.6     4181.12     619.6
-61.52    -0.06     4040.32     480.12
-61.2    -2.7     3984.96     578.52
-57.28    -0.86     3581.44     428.44
-61.0    -0.62     3995.68     632.36
-64.0    -2.46     4486.4     599.4
-63.6    5.82     4336.32     658.44
-61.4    -2.66     4068.64     458.52
-58.72    -0.46     3736.32     661.16
-61.92    -1.52     4049.28     567.76
-61.96    0.04     4199.52     516.8
-61.0    1.06     4041.12     428.36
-61.8    -4.54     4083.68     447.32
-61.4    2.56     4098.08     666.88
-59.04    2.12     3748.16     542.64
-58.52    -2.8     3620.96     417.52
-61.12    3.76     4013.12     571.28
-60.36    -2.48     3932.32     594.24
-61.12    -3.88     4011.2     468.48
-61.72    0.38     4038.24     486.36
-58.32    -0.22     3612.48     424.52
-63.32    3.18     4261.92     559.16
-63.32    -2.42     4272.48     484.84
-63.04    -2.72     4221.44     527.44
-63.88    -0.74     4406.24     601.08
-58.84    1.38     3778.72     376.52
-60.36    -1.32     3998.56     484.4
-64.68    -1.44     4538.4     638.4
-58.0    -1.68     3721.28     492.24
-56.4    0.68     3554.88     428.48
-61.16    1.8     4067.04     592.64
-59.32    1.34     3817.44     455.88
-59.76    1.56     3842.88     472.08
-58.68    3.46     3716.96     454.68
-59.88    0.96     3824.8     431.76
-60.16    -0.28     3879.68     594.64
-60.84    -5.3     4030.88     553.64
-59.0    0.28     3834.72     444.16
-60.12    -0.34     3837.92     479.72
-60.08    2.18     3943.68     510.68
-59.6    -1.72     3797.76     565.36
-60.6    -3.92     3937.76     512.72
-60.56    2.68     3951.36     494.72
-56.8    -1.34     3530.24     360.84
-60.36    -0.56     3925.6     427.2
-60.4    -0.5     3940.48     440.68
-61.24    -0.06     3998.24     446.2
-59.52    1.96     3811.52     461.28
-60.52    3.42     3901.6     456.44
-59.4    0.72     3822.88     547.92
